municipality,statefinancingperperson,profitperperson,incomeperperson,costperperson
Akaa,2091,-60,1457,7403
Alajärvi,4028,92,5069,11979
Alavieska,3843,302,992,7643
Alavus,3767,-79,1212,8083
Asikkala,2529,429,803,6672
Askola,1723,303,1069,6637
Aura,1899,416,776,6083
Enonkoski,4091,913,1347,7914
Enontekiö,5429,5215,1954,10667
Espoo,468,647,1622,6880
Eura,2332,259,1264,7240
Eurajoki,1367,344,1030,7741
Evijärvi,4019,245,746,7966
Forssa,2816,132,1073,7234
Haapajärvi,3974,-343,897,8250
Haapavesi,3960,-249,2696,10237
Hailuoto,3946,-178,1765,9321
Halsua,4145,95,1106,8823
Hamina,2101,220,1336,7828
Hankasalmi,4117,242,1254,8362
Hanko,1789,458,2371,8660
Harjavalta,1956,601,1013,7748
Hartola,3612,174,640,7808
Hattula,1305,-16,803,6226
Hausjärvi,1896,246,1033,6638
Heinola,2677,271,1215,7388
Heinävesi,4368,551,1458,9343
Helsinki,502,531,2012,7635
Hirvensalmi,3399,30,1319,8708
Hollola,1887,423,617,6110
Huittinen,2838,135,1286,7403
Humppila,2849,188,546,6818
Hyrynsalmi,4970,-198,1070,10041
Hyvinkää,1420,413,969,6402
Hämeenkyrö,2314,-89,1399,7208
Hämeenlinna,1618,166,1431,7291
Ii,3097,-85,951,7500
Iisalmi,2936,222,1360,7585
Iitti,2751,444,563,6624
Ikaalinen,2788,167,1181,7430
Ilmajoki,2673,12,941,7030
Ilomantsi,4868,86,1048,9228
Imatra,2597,108,812,7196
Inari,3734,368,1752,9045
Inkoo,1420,381,1486,7244
Isojoki,4057,77,938,8498
Isokyrö,3256,-110,884,7477
Janakkala,1747,100,1221,6693
Joensuu,2133,203,969,6507
Jokioinen,2044,201,885,6606
Joroinen,2800,190,909,7367
Joutsa,3960,366,1233,8364
Juuka,4783,-69,1370,9182
Juupajoki,2586,395,743,7063
Juva,3996,240,871,8170
Jyväskylä,1454,482,1290,6623
Jämijärvi,3242,263,552,6930
Jämsä,2356,17,2515,9145
Järvenpää,881,74,933,6123
Kaarina,1046,236,1126,6219
Kaavi,4478,144,922,8854
Kajaani,3252,284,1001,8273
Kalajoki,2923,90,1883,8007
Kangasala,1386,123,1633,6966
Kangasniemi,3704,208,585,7996
Kankaanpää,2844,343,1198,7282
Kannonkoski,,,,
Kannus,2973,69,594,7011
Karijoki,4556,414,898,8291
Karkkila,2388,69,775,6681
Karstula,4140,491,1302,8193
Karvia,3752,284,628,7147
Kaskinen,1894,-1027,2009,9970
Kauhajoki,3312,117,3884,10641
Kauhava,3473,163,656,7292
Kauniainen,168,-73,1528,8154
Kaustinen,3146,199,1597,7721
Keitele,4144,304,1343,8722
Kemi,2639,-333,1166,8388
Kemijärvi,3976,620,1461,9170
Keminmaa,1947,189,617,6965
Kemiönsaari,3500,409,1279,7542
Kempele,1593,17,893,6312
Kerava,951,-161,1218,6455
Keuruu,3132,-188,2469,9275
Kihniö,3946,343,826,7816
Kinnula,,,,
Kirkkonummi,826,-4,1064,6499
Kitee,4152,285,861,7856
Kittilä,3650,1356,2544,9543
Kiuruvesi,4258,98,915,7811
Kivijärvi,4726,1042,1348,8637
Kokemäki,2823,205,694,7007
Kokkola,2141,132,928,7093
Kolari,4045,167,1475,9110
Konnevesi,4037,826,1328,8171
Kontiolahti,1759,41,764,5868
Korsnäs,3558,-200,1265,8123
Koski Tl,,,,
Kotka,2458,56,1472,8151
Kouvola,2404,22,641,7459
Kristiinankaupunki,3413,158,1581,8525
Kruunupyy,2823,454,428,6719
Kuhmo,4514,713,614,8516
Kuhmoinen,4117,66,1508,9269
Kuopio,1899,101,1544,7374
Kuortane,4071,951,940,7988
Kurikka,3350,-238,923,8217
Kustavi,2440,-334,1630,9040
Kuusamo,3290,94,1722,8326
Kyyjärvi,3930,634,1340,8596
Kärkölä,2058,84,701,6437
Kärsämäki,4682,530,809,8108
Lahti,1866,233,959,6594
Laihia,2419,270,713,6819
Laitila,2792,166,1310,7295
Lapinjärvi,3074,1616,1380,7824
Lapinlahti,3472,-143,946,7868
Lappajärvi,4064,130,882,8138
Lappeenranta,1787,357,593,6328
Lapua,2916,104,994,7124
Laukaa,2271,-120,849,6926
Lemi,2332,215,588,6656
Lempäälä,1180,120,1100,6263
Leppävirta,2948,30,1099,7880
Lestijärvi,4057,-691,3907,12189
Lieksa,3802,441,929,8245
Lieto,1199,226,1305,6255
Liminka,2599,83,963,6741
Liperi,2478,-62,1070,6992
Lohja,1729,358,1354,6882
Loimaa,2872,178,1238,7475
Loppi,2226,290,949,6693
Loviisa,,,,
Luhanka,3754,428,1326,8775
Lumijoki,3287,167,464,6316
Luoto,2665,305,851,6391
Luumäki,3029,156,687,7516
Maalahti,3213,13,1879,8676
Marttila,2416,184,1133,6876
Masku,1012,89,643,5787
Merijärvi,4194,-174,1717,8771
Merikarvia,3849,561,1340,8529
Miehikkälä,4338,-90,2195,9653
Mikkeli,2453,-75,1269,7999
Muhos,3244,132,1577,8033
Multia,3825,347,1460,8905
Muonio,4224,529,1529,9377
Mustasaari,2026,137,1428,7148
Muurame,1277,248,1020,5953
Mynämäki,2512,-46,642,6952
Myrskylä,2829,-37,1424,8148
Mäntsälä,1643,330,560,6063
Mänttä-Vilppula,2788,16,2001,9232
Mäntyharju,3468,-24,1028,8577
Naantali,971,493,1656,6817
Nakkila,2461,-23,827,7018
Nivala,3939,225,1039,7965
Nokia,1345,280,1185,6495
Nousiainen,2152,-19,612,6514
Nurmes,4398,39,1097,8535
Nurmijärvi,1566,1006,906,5843
Närpiö,3610,784,1164,7610
Orimattila,2297,230,681,6430
Oripää,2997,401,1174,7141
Orivesi,2812,-62,859,7505
Oulainen,3847,-23,1340,8956
Oulu,1540,136,1438,6857
Outokumpu,3435,-118,1162,7891
Padasjoki,3708,280,1089,8173
Paimio,1679,61,731,6326
Paltamo,4517,22,1215,9031
Parainen,2169,164,1329,7801
Parikkala,3918,36,1578,8853
Parkano,3389,-55,3050,10058
Pedersören kunta,2664,171,1298,7147
Pelkosenniemi,5019,1019,1844,11609
Pello,4974,210,1563,9845
Perho,4823,510,1411,8479
Pertunmaa,3793,-584,1141,9351
Petäjävesi,,,,
Pieksämäki,3021,253,1322,7896
Pielavesi,5020,592,1295,8838
Pietarsaari,2439,28,5195,12040
Pihtipudas,4665,-127,1675,9200
Pirkkala,844,-165,1905,7174
Polvijärvi,3789,-428,1003,7924
Pomarkku,3812,32,889,8126
Pori,2005,-98,2382,8348
Pornainen,1228,257,705,5632
Porvoo,1208,1039,1688,7192
Posio,6012,370,2268,11212
Pudasjärvi,5010,-92,1321,9190
Pukkila,2105,-240,628,6817
Punkalaidun,4111,-51,764,7983
Puolanka,5938,172,2070,11276
Puumala,,,,
Pyhtää,1930,196,344,6238
Pyhäjoki,3595,692,845,8171
Pyhäjärvi,4096,370,914,8892
Pyhäntä,3883,-506,1037,8123
Pyhäranta,,,,
Pälkäne,2711,188,791,6944
Pöytyä,2756,289,1229,7131
Raahe,2769,558,671,7225
Raasepori,2350,278,1261,7578
Raisio,1433,332,1912,7195
Rantasalmi,3574,157,2077,9215
Ranua,5784,323,1199,9465
Rauma,1567,506,1478,7286
Rautalampi,4133,7,973,8642
Rautavaara,5786,888,2017,10488
Rautjärvi,3309,70,943,8191
Reisjärvi,4384,396,2613,9487
Riihimäki,1546,333,1240,6817
Ristijärvi,5085,-68,2430,11553
Rovaniemi,1773,176,1165,7104
Ruokolahti,2438,293,1082,7445
Ruovesi,3844,278,769,8213
Rusko,1006,160,850,5714
Rääkkylä,4883,-1,1019,8946
Saarijärvi,3755,236,1230,7981
Salla,6107,280,2185,11260
Salo,2401,148,1136,7096
Sastamala,2911,193,1894,8023
Sauvo,1824,283,716,6476
Savitaipale,3949,83,1112,8578
Savonlinna,2839,299,904,7644
Savukoski,4999,942,1412,10367
Seinäjoki,1786,-86,1310,7331
Sievi,4211,401,747,8027
Siikainen,4025,534,977,7844
Siikajoki,3702,192,641,7522
Siikalatva,4623,427,1448,8975
Siilinjärvi,1919,25,1180,7381
Simo,3244,181,751,7811
Sipoo,796,166,1409,6558
Siuntio,915,280,1577,7062
Sodankylä,3325,650,1532,9194
Soini,4036,-276,1317,8681
Somero,3243,146,1264,7547
Sonkajärvi,4285,1212,1146,8034
Sotkamo,2766,-341,1170,8456
Sulkava,4609,67,852,9077
Suomussalmi,4473,262,1314,9076
Suonenjoki,3808,-79,1048,8311
Sysmä,,,,
Säkylä,2225,404,1361,7256
Taipalsaari,1533,419,629,6163
Taivalkoski,5085,534,1843,9447
Taivassalo,2749,487,850,7073
Tammela,2156,45,718,6506
Tampere,1477,306,2301,7724
Tervo,4548,45,1976,10128
Tervola,3942,578,1469,8720
Teuva,3862,419,772,7537
Tohmajärvi,4271,-52,1742,9112
Toholampi,3953,540,2811,9456
Toivakka,2754,49,969,7151
Tornio,2060,-35,1270,7262
Turku,1569,189,1745,7547
Tuusniemi,4258,-131,1897,9663
Tuusula,816,297,1276,6401
Tyrnävä,3239,26,751,6881
Ulvila,1880,60,764,6573
Urjala,3494,89,1312,7982
Utajärvi,4696,393,1243,9393
Utsjoki,6338,-392,3329,13380
Uurainen,2948,272,947,6833
Uusikaarlepyy,3003,322,900,7088
Uusikaupunki,1968,180,2040,7839
Vaala,4955,284,1131,9771
Vaasa,1983,265,1856,7912
Valkeakoski,2124,48,1781,7867
Vantaa,1067,256,1397,6606
Varkaus,2788,-149,2472,9291
Vehmaa,2685,364,2961,9048
Vesanto,,,,
Vesilahti,1794,106,641,6133
Veteli,3989,391,1157,8146
Vieremä,3291,1248,452,7000
Vihti,1113,219,595,5784
Viitasaari,4366,424,5101,12367
Vimpeli,3428,353,1490,8112
Virolahti,3315,-511,2085,9425
Virrat,4125,289,5368,12415
Vöyri,,,,
Ylitornio,5254,270,2997,11156
Ylivieska,2992,245,2814,9289
Ylöjärvi,1450,-19,886,6416
Ypäjä,2381,335,1051,6571
Ähtäri,3572,58,896,8070
Äänekoski,2721,113,1141,7763